31 -9999 28 27 23 30 -9999 22 -9999 30 36 -9999 -9999 24 21 -9999 -9999 30 -9999 24 26 31 -9999 -9999 29 -9999 25 -9999 31 -9999 25 -9999 13 -9999 28 11 -9999 -9999 -9999 27 -9999 -9999 28 -9999 -9999 20 14 33 31 26 26 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 30 30 -9999 -9999 29 -9999 32 33 -9999 30 22 39 32 28 29 -9999 26 -9999 28 30 30 24 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 33 -9999 -9999 -9999 -9999 32 32 -9999 22 32 23 -9999 23 22 21 11 20 -9999 -9999 13 -9999 30 -9999 -9999 -9999 -9999 -9999 12 18 -9999 17 19 -9999 -9999 -9999 -9999 -9999 28 18 14 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 30 30 27 -9999 -9999 28 26 28 -9999 -9999 -9999 -9999 25 -9999 -9999 25 20 23 28 23 24 -9999 -9999 25 -9999 26 -9999 26 27 -9999 -9999 -9999 -9999 -9999 27 -9999 -9999 25 -9999 -9999 27 -9999 18 19 -9999 -9999 -9999 -4 -9999 21 -9999 15 21 9 -4 -9999 -9999 1 -9999 -9999 -9999 12 -9999 7 5 -9999 -9999 8 5 7 10 7 5 -9999 -9999 -9999 -9999 -9999 20 -9999 20 19 4 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 29 -9999 25 -9999 24 22 25 -9999 24 -9999 22 25 26 24 -9999 31 -9999 -9999 -9999 -9999 -9999 -9999 28 34 -9999 -9999 30 -9999 -9999 29 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 22 -9999 -9999 -9999 18 -9999 21 -9999 -9999 -9999 -9999 -9999 -9999 -9999 11 -9999 -9999 24 19 29 27 -9999 25 28 24 25 20 12 -9999 -9999 12 -9999
25 -9999 21 24 19 28 -9999 22 -9999 26 33 -9999 -9999 19 19 -9999 -9999 30 -9999 19 22 36 -9999 -9999 23 -9999 14 -9999 32 -9999 22 -9999 35 -9999 43 33 -9999 -9999 -9999 26 -9999 -9999 37 -9999 -9999 24 30 40 30 24 38 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 31 26 -9999 -9999 29 -9999 27 31 -9999 31 18 33 23 27 25 -9999 21 -9999 26 31 30 23 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 41 -9999 -9999 -9999 -9999 40 42 -9999 39 28 24 -9999 40 36 32 34 23 -9999 -9999 30 -9999 35 -9999 -9999 -9999 -9999 -9999 33 30 -9999 31 34 -9999 -9999 -9999 -9999 -9999 28 26 32 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 26 25 25 -9999 -9999 25 23 23 -9999 -9999 -9999 -9999 24 -9999 -9999 23 15 23 29 26 25 -9999 -9999 25 -9999 22 -9999 28 25 -9999 -9999 -9999 -9999 -9999 26 -9999 -9999 23 -9999 -9999 24 -9999 12 20 -9999 -9999 -9999 15 -9999 21 -9999 14 26 19 9 -9999 -9999 14 -9999 -9999 -9999 24 -9999 24 18 -9999 -9999 23 15 21 23 19 18 -9999 -9999 -9999 -9999 -9999 26 -9999 21 12 16 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 32 -9999 20 -9999 21 22 24 -9999 24 -9999 21 22 22 27 -9999 25 -9999 -9999 -9999 -9999 -9999 -9999 28 33 -9999 -9999 34 -9999 -9999 43 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 38 -9999 -9999 -9999 34 -9999 28 -9999 -9999 -9999 -9999 -9999 -9999 -9999 29 -9999 -9999 24 20 26 25 -9999 26 24 13 22 21 18 -9999 -9999 28 -9999
29 -9999 26 41 25 39 -9999 38 -9999 36 46 -9999 -9999 28 37 -9999 -9999 33 -9999 32 32 32 -9999 -9999 32 -9999 31 -9999 35 -9999 36 -9999 31 -9999 50 34 -9999 -9999 -9999 36 -9999 -9999 38 -9999 -9999 34 40 50 40 34 48 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 31 32 -9999 -9999 37 -9999 33 37 -9999 32 26 41 33 29 39 -9999 27 -9999 43 37 37 39 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 40 -9999 -9999 -9999 -9999 48 50 -9999 42 43 32 -9999 46 41 44 38 39 -9999 -9999 33 -9999 42 -9999 -9999 -9999 -9999 -9999 30 26 -9999 43 42 -9999 -9999 -9999 -9999 -9999 36 38 34 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 32 33 30 -9999 -9999 34 27 34 -9999 -9999 -9999 -9999 29 -9999 -9999 30 29 30 32 29 32 -9999 -9999 25 -9999 34 -9999 28 30 -9999 -9999 -9999 -9999 -9999 34 -9999 -9999 33 -9999 -9999 30 -9999 25 19 -9999 -9999 -9999 10 -9999 30 -9999 22 35 26 18 -9999 -9999 13 -9999 -9999 -9999 28 -9999 21 14 -9999 -9999 20 24 23 27 22 21 -9999 -9999 -9999 -9999 -9999 32 -9999 33 20 22 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 34 -9999 37 -9999 36 36 35 -9999 35 -9999 34 35 39 35 -9999 30 -9999 -9999 -9999 -9999 -9999 -9999 44 37 -9999 -9999 36 -9999 -9999 49 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 47 -9999 -9999 -9999 37 -9999 36 -9999 -9999 -9999 -9999 -9999 -9999 -9999 27 -9999 -9999 25 27 26 32 -9999 33 25 11 30 30 30 -9999 -9999 28 -9999
40 -9999 45 39 44 48 -9999 33 -9999 44 47 -9999 -9999 41 43 -9999 -9999 46 -9999 39 43 56 -9999 -9999 47 -9999 40 -9999 55 -9999 44 -9999 21 -9999 38 22 -9999 -9999 -9999 29 -9999 -9999 51 -9999 -9999 27 23 44 37 23 35 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 55 40 -9999 -9999 56 -9999 48 50 -9999 55 33 51 49 49 47 -9999 40 -9999 41 52 46 39 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 48 -9999 -9999 -9999 -9999 45 39 -9999 31 39 27 -9999 31 29 31 22 29 -9999 -9999 20 -9999 45 -9999 -9999 -9999 -9999 -9999 19 14 -9999 25 28 -9999 -9999 -9999 -9999 -9999 28 24 21 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 36 36 32 -9999 -9999 31 28 27 -9999 -9999 -9999 -9999 24 -9999 -9999 26 10 21 28 19 23 -9999 -9999 28 -9999 26 -9999 27 33 -9999 -9999 -9999 -9999 -9999 34 -9999 -9999 33 -9999 -9999 34 -9999 19 18 -9999 -9999 -9999 5 -9999 18 -9999 14 22 15 0 -9999 -9999 8 -9999 -9999 -9999 17 -9999 18 12 -9999 -9999 19 16 18 19 17 15 -9999 -9999 -9999 -9999 -9999 20 -9999 18 8 15 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 55 -9999 39 -9999 39 37 33 -9999 35 -9999 32 38 38 24 -9999 39 -9999 -9999 -9999 -9999 -9999 -9999 40 48 -9999 -9999 44 -9999 -9999 39 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 31 -9999 -9999 -9999 27 -9999 27 -9999 -9999 -9999 -9999 -9999 -9999 -9999 14 -9999 -9999 19 22 37 27 -9999 25 30 22 27 13 20 -9999 -9999 20 -9999
32 -9999 44 35 35 52 -9999 25 -9999 47 54 -9999 -9999 42 39 -9999 -9999 41 -9999 40 37 51 -9999 -9999 50 -9999 38 -9999 53 -9999 37 -9999 19 -9999 34 21 -9999 -9999 -9999 25 -9999 -9999 48 -9999 -9999 20 20 43 33 18 33 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 51 38 -9999 -9999 54 -9999 52 55 -9999 52 38 56 51 48 51 -9999 45 -9999 36 55 40 39 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 45 -9999 -9999 -9999 -9999 44 39 -9999 31 33 25 -9999 26 28 26 20 25 -9999 -9999 20 -9999 44 -9999 -9999 -9999 -9999 -9999 18 14 -9999 23 22 -9999 -9999 -9999 -9999 -9999 24 22 17 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 23 28 25 -9999 -9999 26 22 25 -9999 -9999 -9999 -9999 19 -9999 -9999 20 6 18 17 18 19 -9999 -9999 22 -9999 22 -9999 18 24 -9999 -9999 -9999 -9999 -9999 24 -9999 -9999 26 -9999 -9999 27 -9999 10 10 -9999 -9999 -9999 -3 -9999 14 -9999 14 18 13 5 -9999 -9999 4 -9999 -9999 -9999 11 -9999 19 7 -9999 -9999 17 14 17 16 17 12 -9999 -9999 -9999 -9999 -9999 18 -9999 12 5 13 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 52 -9999 37 -9999 34 31 29 -9999 33 -9999 26 36 36 19 -9999 29 -9999 -9999 -9999 -9999 -9999 -9999 35 53 -9999 -9999 40 -9999 -9999 37 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 28 -9999 -9999 -9999 18 -9999 24 -9999 -9999 -9999 -9999 -9999 -9999 -9999 12 -9999 -9999 11 17 30 19 -9999 21 23 14 20 9 15 -9999 -9999 20 -9999
27 -9999 43 33 40 53 -9999 25 -9999 49 55 -9999 -9999 39 36 -9999 -9999 42 -9999 31 31 47 -9999 -9999 47 -9999 28 -9999 46 -9999 34 -9999 21 -9999 39 21 -9999 -9999 -9999 27 -9999 -9999 46 -9999 -9999 25 22 40 38 21 35 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 46 32 -9999 -9999 47 -9999 50 49 -9999 45 35 53 47 45 51 -9999 41 -9999 38 52 42 37 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 43 -9999 -9999 -9999 -9999 40 42 -9999 29 34 27 -9999 26 25 28 18 30 -9999 -9999 17 -9999 44 -9999 -9999 -9999 -9999 -9999 21 14 -9999 22 22 -9999 -9999 -9999 -9999 -9999 28 23 20 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 23 24 25 -9999 -9999 28 23 24 -9999 -9999 -9999 -9999 22 -9999 -9999 23 13 20 25 11 24 -9999 -9999 24 -9999 23 -9999 20 22 -9999 -9999 -9999 -9999 -9999 27 -9999 -9999 23 -9999 -9999 23 -9999 12 11 -9999 -9999 -9999 -4 -9999 17 -9999 3 21 11 -7 -9999 -9999 6 -9999 -9999 -9999 11 -9999 16 9 -9999 -9999 15 8 13 13 10 9 -9999 -9999 -9999 -9999 -9999 20 -9999 14 9 7 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 48 -9999 32 -9999 28 28 25 -9999 28 -9999 24 31 32 24 -9999 25 -9999 -9999 -9999 -9999 -9999 -9999 33 53 -9999 -9999 42 -9999 -9999 41 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 27 -9999 -9999 -9999 23 -9999 25 -9999 -9999 -9999 -9999 -9999 -9999 -9999 11 -9999 -9999 11 20 23 22 -9999 24 22 15 23 17 18 -9999 -9999 16 -9999
23 -9999 39 29 39 49 -9999 22 -9999 47 52 -9999 -9999 37 35 -9999 -9999 41 -9999 30 23 44 -9999 -9999 40 -9999 25 -9999 45 -9999 31 -9999 24 -9999 35 20 -9999 -9999 -9999 25 -9999 -9999 41 -9999 -9999 21 24 36 35 21 32 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 45 25 -9999 -9999 44 -9999 41 44 -9999 45 36 47 41 41 45 -9999 40 -9999 37 50 40 32 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 36 -9999 -9999 -9999 -9999 31 38 -9999 27 34 23 -9999 24 25 24 19 27 -9999 -9999 13 -9999 40 -9999 -9999 -9999 -9999 -9999 24 22 -9999 22 28 -9999 -9999 -9999 -9999 -9999 30 21 19 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 25 23 28 -9999 -9999 28 25 26 -9999 -9999 -9999 -9999 26 -9999 -9999 25 18 28 25 25 25 -9999 -9999 24 -9999 26 -9999 28 21 -9999 -9999 -9999 -9999 -9999 27 -9999 -9999 23 -9999 -9999 21 -9999 19 22 -9999 -9999 -9999 22 -9999 22 -9999 19 23 22 9 -9999 -9999 20 -9999 -9999 -9999 24 -9999 22 20 -9999 -9999 21 22 18 20 18 18 -9999 -9999 -9999 -9999 -9999 28 -9999 26 18 29 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 44 -9999 26 -9999 22 24 24 -9999 24 -9999 25 26 24 25 -9999 22 -9999 -9999 -9999 -9999 -9999 -9999 32 49 -9999 -9999 40 -9999 -9999 37 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 22 -9999 -9999 -9999 22 -9999 27 -9999 -9999 -9999 -9999 -9999 -9999 -9999 16 -9999 -9999 20 24 22 27 -9999 28 22 25 26 21 25 -9999 -9999 25 -9999
25 -9999 36 35 34 46 -9999 34 -9999 47 51 -9999 -9999 30 33 -9999 -9999 36 -9999 30 31 36 -9999 -9999 38 -9999 28 -9999 38 -9999 32 -9999 30 -9999 30 24 -9999 -9999 -9999 30 -9999 -9999 37 -9999 -9999 27 29 34 33 21 27 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 34 31 -9999 -9999 32 -9999 39 38 -9999 34 32 49 39 34 45 -9999 33 -9999 36 37 36 38 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 30 -9999 -9999 -9999 -9999 30 38 -9999 34 29 20 -9999 27 28 34 26 29 -9999 -9999 21 -9999 34 -9999 -9999 -9999 -9999 -9999 34 28 -9999 30 33 -9999 -9999 -9999 -9999 -9999 31 24 25 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 23 24 27 -9999 -9999 29 24 28 -9999 -9999 -9999 -9999 24 -9999 -9999 23 17 28 23 26 27 -9999 -9999 25 -9999 28 -9999 29 23 -9999 -9999 -9999 -9999 -9999 30 -9999 -9999 25 -9999 -9999 25 -9999 27 21 -9999 -9999 -9999 27 -9999 30 -9999 31 24 31 22 -9999 -9999 32 -9999 -9999 -9999 25 -9999 25 33 -9999 -9999 25 32 28 23 25 31 -9999 -9999 -9999 -9999 -9999 30 -9999 26 30 34 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 34 -9999 38 -9999 25 25 25 -9999 29 -9999 25 34 34 29 -9999 24 -9999 -9999 -9999 -9999 -9999 -9999 32 42 -9999 -9999 37 -9999 -9999 32 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 33 -9999 -9999 -9999 21 -9999 30 -9999 -9999 -9999 -9999 -9999 -9999 -9999 26 -9999 -9999 15 23 24 24 -9999 28 22 16 24 26 25 -9999 -9999 29 -9999
31 -9999 29 41 31 35 -9999 41 -9999 34 45 -9999 -9999 28 32 -9999 -9999 32 -9999 26 34 34 -9999 -9999 29 -9999 21 -9999 34 -9999 34 -9999 35 -9999 41 35 -9999 -9999 -9999 41 -9999 -9999 37 -9999 -9999 36 33 49 47 38 40 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 34 30 -9999 -9999 29 -9999 32 34 -9999 33 27 46 36 29 34 -9999 26 -9999 44 35 36 34 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 45 -9999 -9999 -9999 -9999 48 47 -9999 41 46 34 -9999 39 43 45 36 43 -9999 -9999 35 -9999 42 -9999 -9999 -9999 -9999 -9999 36 34 -9999 36 35 -9999 -9999 -9999 -9999 -9999 38 38 28 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 36 35 35 -9999 -9999 36 33 36 -9999 -9999 -9999 -9999 33 -9999 -9999 33 30 32 34 30 31 -9999 -9999 33 -9999 35 -9999 33 33 -9999 -9999 -9999 -9999 -9999 37 -9999 -9999 34 -9999 -9999 33 -9999 24 29 -9999 -9999 -9999 15 -9999 27 -9999 19 31 24 7 -9999 -9999 26 -9999 -9999 -9999 27 -9999 28 28 -9999 -9999 26 19 26 24 24 22 -9999 -9999 -9999 -9999 -9999 30 -9999 26 23 19 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 33 -9999 38 -9999 35 37 36 -9999 39 -9999 36 36 41 31 -9999 31 -9999 -9999 -9999 -9999 -9999 -9999 45 33 -9999 -9999 38 -9999 -9999 43 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 37 -9999 -9999 -9999 39 -9999 32 -9999 -9999 -9999 -9999 -9999 -9999 -9999 36 -9999 -9999 29 30 30 36 -9999 34 35 30 34 26 24 -9999 -9999 32 -9999
33 -9999 38 36 30 41 -9999 27 -9999 37 45 -9999 -9999 32 36 -9999 -9999 36 -9999 28 29 41 -9999 -9999 33 -9999 23 -9999 41 -9999 32 -9999 33 -9999 36 30 -9999 -9999 -9999 32 -9999 -9999 35 -9999 -9999 26 29 42 42 27 34 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 34 29 -9999 -9999 34 -9999 39 41 -9999 36 29 44 37 37 38 -9999 39 -9999 38 36 38 40 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 38 -9999 -9999 -9999 -9999 35 44 -9999 37 34 28 -9999 37 38 34 32 35 -9999 -9999 35 -9999 34 -9999 -9999 -9999 -9999 -9999 36 34 -9999 32 31 -9999 -9999 -9999 -9999 -9999 30 28 26 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 33 33 31 -9999 -9999 31 30 30 -9999 -9999 -9999 -9999 30 -9999 -9999 30 26 28 29 24 27 -9999 -9999 31 -9999 30 -9999 28 31 -9999 -9999 -9999 -9999 -9999 31 -9999 -9999 29 -9999 -9999 30 -9999 19 24 -9999 -9999 -9999 18 -9999 23 -9999 15 23 13 9 -9999 -9999 27 -9999 -9999 -9999 22 -9999 32 30 -9999 -9999 24 15 27 24 23 22 -9999 -9999 -9999 -9999 -9999 23 -9999 20 20 19 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 35 -9999 34 -9999 31 31 30 -9999 32 -9999 31 32 33 26 -9999 33 -9999 -9999 -9999 -9999 -9999 -9999 35 36 -9999 -9999 39 -9999 -9999 37 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 30 -9999 -9999 -9999 32 -9999 26 -9999 -9999 -9999 -9999 -9999 -9999 -9999 33 -9999 -9999 28 27 32 31 -9999 29 31 24 30 20 17 -9999 -9999 32 -9999
