 1911   0.30   0.01   0.22   0.05  -0.74  -1.55  -1.26  -1.41  -0.88  -1.30  -0.81  -0.27   -0.64
 1912  -1.11  -1.83  -1.14  -2.27  -1.12  -0.99  -0.05  -0.94  -0.40  -0.97   0.12  -1.01   -0.98
 1913  -0.41  -0.63   0.01  -0.79  -0.56  -0.60  -0.12  -0.92  -0.95  -1.02  -1.25  -0.89   -0.68
 1914  -0.74   0.18   0.88  -2.27  -1.21  -2.64  -0.97  -1.84  -1.47  -0.73  -0.47   0.17   -0.93
 1915  -2.71  -0.59  -2.49  -1.49   1.22   2.68   2.53   1.30   1.34   0.95  -1.74   0.99    0.16
 1916   0.56  -0.52  -0.83   0.01   0.43   0.75   2.57   1.51   0.42   0.36   0.77   1.62    0.64
 1917   0.46   0.98   1.86   2.58   2.40   2.39   2.83   3.48   2.84   1.51   1.93   2.40    2.14
 1918   1.46   1.58  -0.39   2.07   1.09  -0.78  -1.38  -0.64  -0.85  -0.62   0.02  -1.00    0.05
 1919  -1.62  -1.19  -1.57  -0.37  -0.96  -1.46  -0.87  -0.90  -0.59  -1.25  -1.23  -1.12   -1.09
 1920   0.18  -0.29  -0.63  -0.10  -0.40   0.40   0.92   0.44   0.47  -0.69  -0.19   0.99    0.09
 1921   1.09   0.58   1.07  -1.28  -0.01   4.07   0.29  -0.88   0.46   0.97   0.76   0.81    0.66
 1922   0.78   0.77   0.48  -0.69  -0.76   0.45   0.23  -0.28   0.46   0.55   0.76   1.21    0.33
 1923   0.56   0.34   0.84   0.81  -0.01  -0.17  -1.11  -2.14  -1.46  -0.72  -1.41   0.13   -0.36
 1924  -0.68   0.01   0.11  -1.95   1.19   0.84   0.78   0.88   0.74   0.63   1.02   0.48    0.34
 1925   0.54   1.22   1.52   1.48  -0.30  -0.82  -1.31  -1.24  -0.66  -1.50  -0.97  -0.89   -0.24
 1926  -0.62  -1.56  -1.65  -0.75  -0.28  -1.05  -0.09  -0.92   0.12   0.24   0.07   0.59   -0.49
 1927   0.51   0.01   1.84   0.75   0.62   0.91   0.17  -0.75  -0.07  -0.55  -0.91   0.75    0.27
 1928  -1.22   0.95   1.38   1.44  -0.09  -1.15  -0.02   0.80   0.74   0.77   0.21   1.20    0.42
 1929   1.74   1.69   0.41   0.58  -1.20   0.06   0.21  -0.17  -0.07   0.80   0.95   0.53    0.46
 1930   1.31   0.68   0.04  -0.33   0.47  -0.84  -0.40  -0.39  -0.72   0.46   0.30  -0.27    0.03
 1931   0.63  -1.61   0.44   1.10   1.66   2.23   0.98  -0.50   0.35  -1.00  -0.37   0.81    0.39
 1932   0.21  -0.36  -0.72  -2.76   0.09  -0.26  -1.52  -0.90  -0.86  -0.69  -0.61   0.25   -0.68
 1933  -1.22   0.34  -0.35   0.47   0.74  -0.68   0.38  -0.23   0.17   0.17   0.53   0.81    0.09
 1934   0.62  -0.06  -0.12   0.64  -0.76   1.12   0.30  -2.44  -0.64   0.38   1.21  -0.38   -0.01
 1935   0.64  -0.56   1.21   0.37  -0.46  -0.42  -0.02   0.00   0.59   0.60   0.30  -0.56    0.14
 1936  -0.30  -0.04   0.05   2.81   0.27  -0.37   0.43  -1.00   0.23  -0.11  -1.55  -0.04    0.03
 1937   0.95  -0.59   0.55   0.18   0.19   0.22  -0.53   0.20   0.04  -0.39  -0.46   0.64    0.08
 1938   0.75   0.21  -0.55   0.39   1.18   2.01   1.87   1.24   0.69   1.37  -0.07   1.42    0.87
 1939   1.74   0.66   1.14   1.13  -0.10  -0.37   0.84  -0.11  -0.95  -1.71  -0.96  -1.07    0.02
 1940  -0.06  -0.56  -1.34  -0.94  -1.39  -2.49  -1.50  -2.11  -1.95  -1.80  -0.77  -3.38   -1.52
 1941  -1.13  -1.60  -1.33  -1.19  -0.75  -1.89  -2.00  -2.20  -0.83  -2.29  -1.09  -1.07   -1.45
 1942  -1.51  -0.51  -0.80  -0.52   0.25   0.80  -0.08   0.30   0.82   0.70  -0.64   1.42    0.02
 1943   0.88   0.91   0.29   1.59   0.25  -1.13   0.30   0.69   0.53   0.79   0.22  -1.06    0.36
 1944  -0.95   0.30   0.46  -0.54   0.02  -0.61  -0.85   0.13   0.22  -1.03  -0.84   0.36   -0.28
 1945   0.43   0.53   1.33  -0.73   0.02   0.80   0.39   1.06   0.80   0.21  -0.45   0.63    0.42
 1946  -0.32   0.29  -0.38  -1.03  -1.19  -1.32  -0.99  -0.64  -1.58  -1.38  -0.25  -0.71   -0.79
 1947  -0.63  -0.56   1.13  -0.56  -1.24   0.16   0.98   0.66   1.10  -0.35   0.75   0.47    0.16
 1948  -0.43  -0.41  -0.60   0.26   0.35  -0.76   0.10  -0.55  -0.76   0.54   0.19  -0.72   -0.23
 1949  -0.86   0.05   0.49   0.28  -0.68  -1.60  -0.15  -0.64   0.17   0.38  -0.77   0.77   -0.21
 1950   0.54   1.58   1.79   1.67   0.55   3.06   2.14   1.14   0.63   1.68   0.89   2.46    1.51
 1951   1.32   0.47  -0.71  -1.03  -1.29  -0.52  -1.33  -0.75  -1.17  -1.44  -0.98  -0.90   -0.69
 1952  -0.92  -0.83  -0.02  -0.73   0.67   0.78   0.51  -0.38  -0.24   0.12  -0.22  -1.40   -0.22
 1953   0.12  -0.72  -0.79  -0.18  -2.72  -0.47  -0.06  -1.89  -1.35  -0.18  -0.36  -0.61   -0.77
 1954   0.57  -0.52  -0.31   0.41   0.15  -0.49   0.36   0.90   0.17   0.09   0.16   1.31    0.23
 1955  -0.68   1.30   0.13  -0.81   0.88   1.63   1.80   1.38   1.40   1.51   1.38   0.91    0.90
 1956   1.16   1.10   0.89   1.06   1.44   1.26   1.19   1.05   0.06   1.92   0.11   0.99    1.02
 1957   0.43  -0.36  -0.37   0.05  -1.18  -0.37   0.18  -1.08  -1.01  -0.09  -1.23  -0.44   -0.45
 1958  -1.89  -0.78  -0.32   0.03  -1.39  -0.27   0.23   0.72  -0.34  -0.56  -0.61  -0.84   -0.50
 1959  -0.94  -1.50   0.77   0.35   0.14  -0.96  -0.47  -0.68  -0.01   0.34   0.90   0.81   -0.10
 1960  -0.05  -0.25   0.47   0.79   0.30  -0.47   0.50   0.53   0.65  -0.20   0.60   0.63    0.29
